ticker,quantity,sector,current_price,original_weight,market_value,allocation_pct
AAPL,1,IT,218.270004,3.4612897487152594,218.270004,0.013348760672769171
ADAP,1,Pharmaceuticals,0.291,0.004614630038107,0.291,1.7796716381495226e-05
AGCO,1,Agriculture,93.089996,1.4762058137074323,93.089996,0.005693114284421048
BA,2,Military Engineering,178.110001,2.8244390402126194,356.220002,0.021785382628899185
BG,4,Agriculture,73.25,1.1615864271180054,293.0,0.017919030583429904
CALM,5,Agriculture,89.199997,1.4145188507053488,445.999985,0.02727606611407603
CAT,1,Engineering,335.779999,5.324743881721466,335.779999,0.0205353313016555
CSCO,5,IT,60.299999,0.9562274456468164,301.499995,0.018438865635866768
CVX,2,Natural Resources,164.75,2.612578346316606,329.5,0.02015126476873772
DDOG,5,IT,105.029999,1.6655484133599685,525.149995,0.03211665126721181
DE,4,Agriculture,472.429993,7.491716964262858,1889.719972,0.1155697951275983
GRWG,2,Agriculture,1.27,0.0201394506817729,2.54,0.0001553390364570374
HUM,1,Healthcare,266.170013,4.220880196677448,266.170013,0.016278186359518547
IBKR,1,Finance,173.360001,2.7491143230957524,173.360001,0.01060219508485474
IEX,5,Engineering,181.910004,2.8846988614796185,909.5500199999999,0.05562544240798388
JPM,5,Finance,241.630005,3.831728794436256,1208.1500250000001,0.07388695306261639
KO,5,Food & Beverages,68.669998,1.0889575102664928,343.34999000000005,0.02099829000556434
LMT,5,Military Engineering,439.700012,6.972690320038555,2198.5000600000003,0.1344538901461177
MS,1,Finance,120.139999,1.9051603029675184,120.139999,0.0073474140490588325
MSCI,1,Finance,562.559998,8.92098372855061,562.559998,0.03440453859787121
MSFT,3,IT,391.26001,6.204536752082664,1173.7800300000001,0.07178498380815451
NFLX,1,Entertainment,960.289978,15.228120198528982,960.289978,0.05872855114246835
OSK,3,Engineering,95.779999,1.5188634379218584,287.33999700000004,0.017572881208483472
PFE,2,Pharmaceuticals,26.280001,0.4167439244538922,52.560002,0.0032144173491574636
PG,2,Consumer Goods,166.690002,2.643342578286324,333.380004,0.020388554565119395
SPY,3,Finance,563.97998,8.943501569068726,1691.9399399999998,0.10347414174125102
TMUS,5,Telecommunications,255.839996,4.057068489659041,1279.19998,0.07823216233427618
